date,store_id,item_id,category,sales_units,on_promotion,base_price,unit_cost,shelf_life_days,holding_cost_per_day,spoilage_cost_per_unit,stockout_cost_per_unit
2024-01-04,STORE_04,ITEM_PRODUCE_01,Produce,21,0,33.81,16.51,4,0.6,22.18,65.4
2024-01-04,STORE_04,ITEM_PRODUCE_02,Produce,24,1,22.58,13.8,4,0.51,19.67,60.62
2024-01-04,STORE_05,ITEM_BAKERY_01,Bakery,19,0,50.7,33.2,3,0.89,39.97,63.51
2024-01-04,STORE_05,ITEM_BAKERY_02,Bakery,29,1,23.87,15.3,3,0.33,19.67,56.55
2024-01-04,STORE_05,ITEM_DAIRY_01,Dairy,41,0,62.07,36.09,7,1.64,42.1,76.84
2024-01-04,STORE_05,ITEM_DAIRY_02,Dairy,28,0,40.81,20.29,7,0.5,29.0,68.7
2024-01-04,STORE_05,ITEM_MEAT_01,Meat,15,0,193.53,126.13,5,4.78,127.52,112.78
2024-01-04,STORE_05,ITEM_MEAT_02,Meat,13,0,124.76,63.56,5,1.41,68.36,112.11
2024-01-04,STORE_05,ITEM_PRODUCE_01,Produce,18,0,33.14,16.42,4,0.58,22.06,65.4
2024-01-04,STORE_05,ITEM_PRODUCE_02,Produce,24,1,22.17,13.96,4,0.52,19.96,59.95
2024-01-04,STORE_06,ITEM_BAKERY_01,Bakery,8,0,49.23,32.79,3,0.89,40.59,66.79
2024-01-04,STORE_06,ITEM_BAKERY_02,Bakery,28,1,24.84,15.26,3,0.32,19.97,59.17
2024-01-04,STORE_06,ITEM_DAIRY_01,Dairy,29,0,60.24,35.98,7,1.62,43.5,73.28
2024-01-04,STORE_06,ITEM_DAIRY_02,Dairy,27,0,40.03,20.56,7,0.5,29.0,68.59
2024-01-04,STORE_06,ITEM_MEAT_01,Meat,19,0,192.13,127.29,5,4.77,132.94,115.21
2024-01-04,STORE_06,ITEM_MEAT_02,Meat,12,0,121.74,63.64,5,1.45,66.6,108.2
2024-01-04,STORE_06,ITEM_PRODUCE_01,Produce,31,0,32.93,16.43,4,0.6,22.16,67.93
2024-01-04,STORE_06,ITEM_PRODUCE_02,Produce,16,1,22.69,13.88,4,0.51,19.83,58.05
2024-01-04,STORE_07,ITEM_BAKERY_01,Bakery,16,0,49.69,33.53,3,0.92,39.18,67.45
2024-01-04,STORE_07,ITEM_BAKERY_02,Bakery,25,1,25.82,15.53,3,0.33,20.35,57.66
2024-01-04,STORE_07,ITEM_DAIRY_01,Dairy,31,0,62.27,35.84,7,1.61,41.37,74.04
2024-01-04,STORE_07,ITEM_DAIRY_02,Dairy,32,0,36.88,20.77,7,0.51,28.48,69.6
2024-01-04,STORE_07,ITEM_MEAT_01,Meat,22,0,189.6,124.18,5,4.74,129.97,113.31
